sample,adc,filtered,lead_off
268,4104,-122.02,0
269,4115,-98.21,0
270,4879,-85.87,0
271,6055,-84.35,0
272,6974,-86.13,0
273,7164,-81.28,0
274,6529,-62.79,0
275,5464,-30.22,0
276,4581,10.55,0
277,4367,51.41,0
278,4913,87.24,0
279,5976,118.41,0
280,6947,149.29,0
281,7296,184.07,0
282,6807,222.40,0
283,5754,257.69,0
284,4706,279.19,0
285,4244,277.61,0
286,4587,251.02,0
287,5586,207.59,0
288,6717,163.06,0
289,7360,134.38,0
290,7165,132.49,0
291,6270,157.64,0
292,5176,199.57,0
293,4476,242.88,0
294,4539,274.71,0
295,5319,290.35,0
296,6418,293.81,0
297,7193,293.69,0
298,7206,297.04,0
299,6425,304.40,0
300,5252,308.66,0
301,4327,298.66,0
302,4109,265.81,0
303,4688,209.80,0
304,5774,140.07,0
305,6755,72.03,0
306,7075,20.37,0
307,6598,-7.33,0
308,5585,-13.30,0
309,4617,-7.04,0
310,4219,1.02,0
311,4593,5.76,0
312,5549,9.61,0
313,6592,19.66,0
314,7131,41.86,0
315,6840,75.97,0
316,5870,113.75,0
317,4756,141.49,0
318,4062,146.12,0
319,4147,121.82,0
320,4948,73.35,0
321,6094,14.19,0
322,6932,-39.00,0
323,7020,-72.74,0
324,6322,-81.22,0
325,5228,-67.54,0
326,4381,-41.01,0
327,4212,-11.84,0
328,4834,13.93,0
329,5940,36.32,0
330,6864,59.58,0
331,7098,87.56,0
332,6472,118.90,0
333,5283,144.87,0
334,4186,151.72,0
335,3697,126.99,0
336,4049,66.44,0
337,5071,-22.62,0
338,6268,-123.09,0
339,7023,-213.40,0
340,7019,-273.38,0
341,6425,-288.59,0
342,5796,-251.08,0
343,5653,-156.42,0
344,6325,0.76,0
345,7717,228.60,0
346,9379,535.63,0
347,10714,925.57,0
348,11008,1392.11,0
349,10932,1916.18,0
350,10418,2469.38,0
351,9626,3022.72,0
352,8997,3550.60,0
353,8770,4024.57,0
354,8707,4404.17,0
355,8412,4634.97,0
356,7606,4656.94,0
357,6239,4420.60,0
358,4628,3905.27,0
359,3373,3132.62,0
360,2890,2170.01,0
361,3316,1121.43,0
362,4413,107.65,0
363,5659,-758.79,0
364,6404,-1395.77,0
365,6294,-1765.07,0
366,5489,-1875.14,0
367,4563,-1773.54,0
368,4089,-1530.79,0
369,4365,-1220.57,0
370,5294,-903.17,0
371,6443,-617.41,0
372,7135,-381.57,0
373,7055,-200.29,0
374,6100,-73.09,0
375,4857,-0.27,0
376,3923,16.17,0
377,3718,-23.68,0
378,4301,-112.83,0
379,5344,-235.74,0
380,6260,-371.28,0
381,6495,-498.34,0
382,5926,-601.64,0
383,4881,-675.25,0
384,3975,-721.95,0
385,3695,-748.48,0
386,4190,-759.52,0
387,5257,-754.69,0
388,6359,-729.84,0
