sample,adc,filtered,lead_off
274,5622,-310.28,0
275,5634,-295.29,0
276,5612,-280.13,0
277,5569,-266.28,0
278,5541,-255.13,0
279,5541,-247.44,0
280,5568,-242.87,0
281,5612,-239.97,0
282,5652,-236.82,0
283,5669,-231.94,0
284,5653,-224.95,0
285,5609,-216.68,0
286,5566,-208.76,0
287,5539,-202.84,0
288,5541,-199.92,0
289,5587,-199.96,0
290,5645,-201.95,0
291,5700,-204.15,0
292,5719,-204.59,0
293,5699,-201.65,0
294,5652,-194.58,0
295,5621,-183.76,0
296,5618,-170.56,0
297,5636,-156.71,0
298,5682,-143.79,0
299,5721,-132.90,0
300,5738,-124.62,0
301,5721,-119.02,0
302,5673,-115.86,0
303,5625,-114.73,0
304,5598,-115.26,0
305,5604,-117.16,0
306,5632,-120.18,0
307,5669,-124.05,0
308,5682,-128.59,0
309,5662,-133.72,0
310,5612,-139.57,0
311,5569,-146.37,0
312,5554,-154.24,0
313,5570,-162.71,0
314,5613,-170.57,0
315,5660,-176.19,0
316,5684,-178.19,0
317,5669,-176.19,0
318,5621,-171.09,0
319,5561,-164.97,0
320,5511,-160.36,0
321,5490,-159.43,0
322,5505,-163.31,0
323,5536,-171.95,0
324,5571,-184.25,0
325,5585,-198.55,0
326,5575,-212.99,0
327,5549,-225.77,0
328,5523,-235.28,0
329,5513,-240.27,0
330,5530,-240.02,0
331,5568,-234.61,0
332,5604,-225.04,0
333,5617,-213.04,0
334,5592,-200.81,0
335,5544,-190.65,0
336,5493,-184.45,0
337,5461,-183.31,0
338,5463,-187.18,0
339,5489,-194.98,0
340,5529,-204.96,0
341,5561,-215.24,0
342,5563,-224.28,0
343,5536,-231.05,0
344,5488,-235.15,0
345,5449,-236.71,0
346,5438,-236.31,0
347,5466,-234.73,0
348,5505,-232.70,0
349,5530,-230.73,0
350,5527,-229.23,0
351,5488,-228.72,0
352,5444,-229.91,0
353,5411,-233.34,0
354,5419,-238.93,0
355,5452,-245.57,0
356,5498,-251.24,0
357,5529,-253.82,0
358,5529,-252.10,0
359,5502,-246.45,0
360,5454,-238.80,0
361,5409,-231.73,0
362,5386,-227.48,0
363,5389,-227.12,0
364,5419,-230.39,0
365,5454,-236.14,0
366,5481,-242.88,0
367,5483,-249.34,0
368,5453,-254.61,0
369,5418,-258.13,0
370,5390,-259.62,0
371,5389,-258.97,0
372,5419,-256.25,0
373,5462,-251.67,0
374,5499,-245.68,0
375,5507,-238.84,0
376,5484,-231.85,0
377,5441,-225.41,0
378,5403,-220.06,0
379,5386,-216.14,0
380,5402,-213.64,0
381,5442,-212.31,0
382,5493,-211.71,0
383,5521,-211.24,0
384,5508,-210.23,0
385,5472,-208.09,0
386,5440,-204.61,0
387,5428,-199.86,0
388,5449,-193.95,0
389,5488,-186.90,0
390,5533,-178.61,0
391,5556,-169.23,0
392,5555,-159.24,0
393,5528,-149.50,0
394,5490,-140.88,0
395,5463,-133.92,0
396,5462,-128.69,0
397,5478,-124.84,0
398,5513,-121.95,0
399,5544,-119.82,0
400,5545,-118.52,0
401,5517,-118.26,0
402,5482,-119.26,0
403,5451,-121.45,0
404,5448,-124.34,0
405,5481,-127.01,0
406,5527,-128.29,0
407,5573,-127.10,0
408,5596,-122.84,0
409,5577,-115.63,0
410,5537,-106.30,0
411,5498,-96.24,0
412,5486,-86.89,0
413,5508,-79.23,0
414,5562,-73.38,0
415,5633,-68.57,0
416,5685,-63.37,0
417,5714,-56.10,0
418,5728,-45.20,0
419,5747,-29.46,0
420,5775,-7.90,0
421,5822,20.30,0
422,5884,55.52,0
423,5942,97.23,0
424,5975,143.54,0
425,5978,191.20,0
426,5947,236.04,0
427,5907,273.94,0
428,5876,301.86,0
429,5892,318.61,0
430,5945,325.30,0
431,6020,325.12,0
432,6092,322.55,0
433,6146,322.25,0
434,6165,327.87,0
435,6145,341.44,0
436,6119,363.04,0
437,6090,390.84,0
438,6076,421.53,0
439,6085,450.83,0
440,6086,474.23,0
441,6043,487.76,0
442,5953,488.34,0
443,5821,473.81,0
444,5685,442.78,0
445,5579,394.84,0
446,5521,331.04,0
447,5510,254.27,0
448,5522,169.36,0
449,5528,82.42,0
450,5510,-0.28,0
451,5463,-73.48,0
452,5397,-133.84,0
453,5336,-180.31,0
454,5303,-213.90,0
455,5309,-237.20,0
456,5339,-253.48,0
457,5364,-265.85,0
458,5363,-276.72,0
459,5325,-287.65,0
460,5271,-299.49,0
461,5222,-312.52,0
462,5201,-326.45,0
463,5217,-340.49,0
464,5259,-353.37,0
465,5306,-363.71,0
466,5334,-370.40,0
467,5326,-372.88,0
468,5301,-371.30,0
469,5266,-366.39,0
470,5240,-359.04,0
471,5237,-350.12,0
472,5260,-340.48,0
473,5299,-331.03,0
474,5320,-322.73,0
475,5295,-316.53,0
476,5234,-313.37,0
477,5151,-314.28,0
478,5073,-320.35,0
479,5021,-332.46,0
480,5022,-351.03,0
481,5094,-375.54,0
482,5223,-403.81,0
483,5384,-431.19,0
484,5600,-450.07,0
485,5893,-450.02,0
486,6289,-418.21,0
487,6812,-340.22,0
488,7432,-201.09,0
489,8106,12.87,0
490,8812,311.61,0
491,9480,698.95,0
492,10119,1170.98,0
493,10715,1716.17,0
494,10982,2316.28,0
495,10987,2946.13,0
496,10898,3571.69,0
497,10364,4149.47,0
498,9345,4628.14,0
499,7912,4949.81,0
500,6347,5052.38,0
501,4947,4877.65,0
